;target_day_n;target_day_engagement;target_day_prop;random_day_n;random_day_engagement;random_day_prop;comparison_metric;comparison_metric_weighted;hot_topic
david criekemans;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
ryanair-topman;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
iemand;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
schrik in bed;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
europa;10;242;0.00904977375565611;12.0;47.0;0.01038961038961039;0.8710407239819006;1.976501799957462;0
wall street;2;7;0.0018099547511312218;2.0;2.0;0.0017316017316017316;1.0452488687782806;1.9554815754406798;0
vs;14;191;0.012669683257918552;11.0;103.0;0.009523809523809525;1.330316742081448;1.8115616905533154;0
washington;1;3;0.0009049773755656109;1.0;0.0;0.0008658008658008658;1.0452488687782806;1.8104241472778764;0
jan smets;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
prins charles;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
winston;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
noren;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
hampton stall;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
van doninck;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
republikein;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
osama;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
dvlm;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
km/u in honduras;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
marie-jeanne;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
chibi ichigo en umi defoort;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
lincoln project;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
militie;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
midden-amerika;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
willy naessens;1;4;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;1.8099547511312217;0
